,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
sentential_negation_npi_licensor_present,7.0,10.0,12.0,17.0,22.0,19.0,34.0,12.0,7.0,48.0,675.0,28.0,24.0,7.0,53.0,13.0,10.0,23.0,16.0,18.0,18.0,8.0,21.0,23.0,52.0,17.0,39.0,20.0,6.0,15.0,35.0,15.0,13.0,24.0,14.0,21.0,19.0,12.0,16.0,19.0,22.0,23.0,21.0,3.0,10.0,1.0,25.0,41.0,38.0,31.0,24.0,6.0,11.0,14.0,23.0,10.0,31.0,187.0,10.0,34.0,27.0,11.0,5.0,9.0,20.0,7.0,45.0
principle_A_case_2,39.0,16.0,56.0,26.0,128.0,113.0,99.0,14.0,8.0,60.0,28.0,675.0,111.0,5.0,46.0,41.0,9.0,6.0,24.0,38.0,8.0,9.0,107.0,68.0,56.0,87.0,87.0,82.0,1.0,24.0,83.0,33.0,15.0,65.0,100.0,125.0,18.0,31.0,9.0,107.0,40.0,24.0,93.0,19.0,21.0,8.0,25.0,64.0,87.0,55.0,110.0,18.0,3.0,32.0,116.0,2.0,66.0,24.0,0.0,64.0,39.0,1.0,30.0,39.0,65.0,1.0,7.0
determiner_noun_agreement_2,16.0,31.0,79.0,20.0,486.0,226.0,196.0,11.0,24.0,55.0,24.0,111.0,675.0,10.0,57.0,48.0,13.0,8.0,58.0,56.0,20.0,6.0,405.0,78.0,39.0,180.0,143.0,452.0,3.0,22.0,71.0,78.0,24.0,61.0,427.0,487.0,36.0,22.0,37.0,226.0,94.0,26.0,466.0,21.0,39.0,2.0,46.0,92.0,137.0,55.0,594.0,22.0,7.0,42.0,197.0,4.0,146.0,13.0,5.0,117.0,59.0,11.0,83.0,126.0,77.0,3.0,8.0
principle_A_reconstruction,19.0,20.0,3.0,5.0,5.0,6.0,1.0,11.0,60.0,5.0,7.0,5.0,10.0,675.0,5.0,18.0,36.0,180.0,9.0,4.0,12.0,30.0,5.0,7.0,9.0,7.0,6.0,9.0,24.0,2.0,0.0,28.0,39.0,5.0,9.0,5.0,19.0,12.0,7.0,6.0,6.0,8.0,11.0,14.0,72.0,12.0,6.0,7.0,3.0,2.0,8.0,3.0,40.0,13.0,9.0,43.0,3.0,3.0,166.0,4.0,15.0,14.0,14.0,9.0,1.0,21.0,19.0
existential_there_quantifiers_1,11.0,12.0,36.0,15.0,70.0,55.0,74.0,6.0,7.0,23.0,53.0,46.0,57.0,5.0,675.0,15.0,4.0,3.0,14.0,37.0,8.0,6.0,56.0,96.0,35.0,80.0,54.0,52.0,4.0,18.0,70.0,34.0,7.0,31.0,46.0,68.0,8.0,15.0,27.0,48.0,32.0,25.0,39.0,6.0,13.0,2.0,25.0,55.0,68.0,66.0,56.0,14.0,12.0,12.0,81.0,7.0,38.0,17.0,2.0,37.0,16.0,4.0,4.0,9.0,35.0,4.0,13.0
npi_present_2,13.0,18.0,21.0,19.0,50.0,54.0,51.0,16.0,14.0,39.0,13.0,41.0,48.0,18.0,15.0,675.0,11.0,31.0,17.0,14.0,11.0,8.0,49.0,54.0,41.0,49.0,38.0,50.0,7.0,15.0,18.0,27.0,18.0,45.0,46.0,54.0,17.0,8.0,11.0,56.0,12.0,28.0,53.0,62.0,21.0,7.0,9.0,16.0,31.0,26.0,52.0,11.0,10.0,439.0,52.0,15.0,22.0,18.0,10.0,28.0,23.0,7.0,21.0,27.0,17.0,7.0,10.0
wh_island,18.0,12.0,4.0,4.0,11.0,11.0,5.0,7.0,27.0,3.0,10.0,9.0,13.0,36.0,4.0,11.0,675.0,33.0,8.0,5.0,10.0,18.0,10.0,6.0,9.0,6.0,7.0,12.0,9.0,7.0,3.0,9.0,12.0,12.0,11.0,10.0,15.0,13.0,5.0,10.0,4.0,6.0,14.0,12.0,40.0,6.0,4.0,18.0,2.0,4.0,14.0,7.0,17.0,12.0,5.0,22.0,8.0,6.0,21.0,6.0,10.0,37.0,13.0,10.0,6.0,3.0,9.0
wh_questions_object_gap,34.0,13.0,3.0,1.0,5.0,3.0,6.0,65.0,64.0,16.0,23.0,6.0,8.0,180.0,3.0,31.0,33.0,675.0,3.0,2.0,14.0,12.0,6.0,0.0,25.0,3.0,4.0,7.0,30.0,0.0,1.0,35.0,57.0,4.0,6.0,5.0,25.0,19.0,8.0,3.0,10.0,68.0,8.0,14.0,39.0,23.0,7.0,11.0,5.0,1.0,7.0,8.0,64.0,23.0,4.0,82.0,6.0,3.0,111.0,3.0,27.0,24.0,2.0,4.0,4.0,16.0,33.0
tough_vs_raising_1,3.0,14.0,26.0,24.0,49.0,38.0,35.0,13.0,8.0,20.0,16.0,24.0,58.0,9.0,14.0,17.0,8.0,3.0,675.0,45.0,18.0,5.0,45.0,13.0,23.0,42.0,45.0,45.0,3.0,15.0,26.0,41.0,14.0,0.0,48.0,47.0,16.0,11.0,8.0,42.0,33.0,25.0,44.0,14.0,12.0,6.0,16.0,34.0,51.0,28.0,56.0,21.0,5.0,15.0,55.0,2.0,49.0,12.0,3.0,54.0,23.0,5.0,42.0,60.0,13.0,3.0,3.0
passive_1,16.0,13.0,25.0,18.0,51.0,46.0,41.0,11.0,7.0,36.0,18.0,38.0,56.0,4.0,37.0,14.0,5.0,2.0,45.0,675.0,8.0,4.0,52.0,17.0,34.0,49.0,56.0,42.0,1.0,15.0,57.0,177.0,16.0,18.0,50.0,50.0,30.0,13.0,18.0,42.0,21.0,27.0,47.0,10.0,9.0,1.0,31.0,57.0,182.0,47.0,53.0,10.0,7.0,16.0,51.0,12.0,18.0,9.0,6.0,20.0,20.0,2.0,13.0,24.0,33.0,4.0,9.0
ellipsis_n_bar_2,41.0,23.0,7.0,11.0,16.0,3.0,6.0,16.0,7.0,11.0,18.0,8.0,20.0,12.0,8.0,11.0,10.0,14.0,18.0,8.0,675.0,10.0,10.0,0.0,15.0,3.0,6.0,20.0,27.0,1.0,4.0,8.0,34.0,2.0,12.0,14.0,34.0,15.0,12.0,5.0,21.0,8.0,20.0,12.0,5.0,28.0,23.0,22.0,29.0,2.0,20.0,9.0,15.0,10.0,4.0,12.0,31.0,4.0,3.0,28.0,25.0,54.0,28.0,33.0,12.0,16.0,30.0
only_npi_scope,16.0,6.0,1.0,3.0,4.0,1.0,4.0,11.0,14.0,7.0,8.0,9.0,6.0,30.0,6.0,8.0,18.0,12.0,5.0,4.0,10.0,675.0,6.0,2.0,5.0,2.0,7.0,3.0,17.0,2.0,2.0,12.0,16.0,9.0,5.0,4.0,19.0,10.0,13.0,1.0,9.0,12.0,7.0,4.0,10.0,2.0,5.0,6.0,8.0,5.0,6.0,7.0,17.0,7.0,4.0,17.0,6.0,10.0,22.0,7.0,12.0,6.0,19.0,14.0,14.0,25.0,38.0
determiner_noun_agreement_with_adj_irregular_1,8.0,26.0,103.0,18.0,465.0,222.0,198.0,10.0,30.0,45.0,21.0,107.0,405.0,5.0,56.0,49.0,10.0,6.0,45.0,52.0,10.0,6.0,675.0,94.0,31.0,222.0,149.0,405.0,3.0,21.0,64.0,65.0,24.0,80.0,528.0,473.0,26.0,28.0,50.0,227.0,75.0,11.0,417.0,18.0,38.0,1.0,42.0,87.0,112.0,64.0,420.0,21.0,5.0,40.0,207.0,6.0,120.0,11.0,2.0,87.0,47.0,9.0,77.0,111.0,82.0,2.0,5.0
existential_there_subject_raising,10.0,26.0,55.0,32.0,98.0,97.0,109.0,8.0,13.0,32.0,23.0,68.0,78.0,7.0,96.0,54.0,6.0,0.0,13.0,17.0,0.0,2.0,94.0,675.0,29.0,117.0,76.0,65.0,1.0,19.0,78.0,33.0,10.0,107.0,91.0,103.0,1.0,10.0,37.0,89.0,23.0,21.0,70.0,15.0,17.0,6.0,17.0,38.0,54.0,78.0,81.0,15.0,4.0,44.0,126.0,3.0,48.0,11.0,5.0,63.0,19.0,5.0,28.0,43.0,33.0,2.0,6.0
wh_vs_that_no_gap,19.0,12.0,14.0,32.0,36.0,27.0,53.0,73.0,5.0,367.0,52.0,56.0,39.0,9.0,35.0,41.0,9.0,25.0,23.0,34.0,15.0,5.0,31.0,29.0,675.0,25.0,38.0,24.0,7.0,40.0,82.0,15.0,16.0,30.0,25.0,43.0,11.0,8.0,4.0,38.0,42.0,140.0,24.0,24.0,6.0,1.0,29.0,55.0,60.0,53.0,35.0,6.0,7.0,38.0,41.0,11.0,54.0,50.0,8.0,59.0,42.0,4.0,0.0,1.0,33.0,7.0,20.0
distractor_agreement_relational_noun,7.0,44.0,130.0,26.0,225.0,337.0,290.0,5.0,18.0,39.0,17.0,87.0,180.0,7.0,80.0,49.0,6.0,3.0,42.0,49.0,3.0,2.0,222.0,117.0,25.0,675.0,173.0,180.0,0.0,30.0,67.0,79.0,18.0,86.0,230.0,230.0,7.0,33.0,69.0,328.0,39.0,22.0,162.0,10.0,20.0,5.0,21.0,74.0,76.0,64.0,190.0,15.0,5.0,41.0,387.0,2.0,91.0,12.0,0.0,76.0,41.0,6.0,28.0,47.0,42.0,0.0,5.0
regular_plural_subject_verb_agreement_1,10.0,15.0,97.0,26.0,140.0,194.0,159.0,8.0,12.0,47.0,39.0,87.0,143.0,6.0,54.0,38.0,7.0,4.0,45.0,56.0,6.0,7.0,149.0,76.0,38.0,173.0,675.0,120.0,0.0,28.0,57.0,39.0,13.0,51.0,135.0,143.0,9.0,54.0,44.0,197.0,64.0,23.0,126.0,22.0,20.0,7.0,56.0,89.0,104.0,58.0,145.0,12.0,4.0,34.0,227.0,3.0,96.0,20.0,0.0,86.0,61.0,0.0,22.0,43.0,81.0,2.0,24.0
determiner_noun_agreement_irregular_1,5.0,23.0,79.0,20.0,416.0,194.0,167.0,6.0,28.0,40.0,20.0,82.0,452.0,9.0,52.0,50.0,12.0,7.0,45.0,42.0,20.0,3.0,405.0,65.0,24.0,180.0,120.0,675.0,4.0,23.0,52.0,81.0,26.0,69.0,423.0,420.0,42.0,20.0,46.0,200.0,71.0,15.0,479.0,24.0,43.0,1.0,43.0,75.0,113.0,49.0,467.0,26.0,6.0,49.0,180.0,4.0,129.0,9.0,8.0,84.0,57.0,9.0,83.0,125.0,81.0,1.0,5.0
superlative_quantifiers_1,31.0,28.0,1.0,2.0,2.0,0.0,0.0,18.0,6.0,1.0,6.0,1.0,3.0,24.0,4.0,7.0,9.0,30.0,3.0,1.0,27.0,17.0,3.0,1.0,7.0,0.0,0.0,4.0,675.0,2.0,5.0,5.0,29.0,1.0,3.0,2.0,19.0,16.0,4.0,1.0,19.0,15.0,4.0,16.0,8.0,40.0,19.0,3.0,1.0,5.0,3.0,0.0,42.0,4.0,1.0,23.0,8.0,2.0,23.0,5.0,12.0,30.0,4.0,7.0,6.0,26.0,40.0
principle_A_domain_3,0.0,33.0,28.0,235.0,24.0,21.0,28.0,4.0,10.0,38.0,15.0,24.0,22.0,2.0,18.0,15.0,7.0,0.0,15.0,15.0,1.0,2.0,21.0,19.0,40.0,30.0,28.0,23.0,2.0,675.0,57.0,25.0,3.0,15.0,20.0,25.0,1.0,14.0,7.0,21.0,15.0,15.0,17.0,15.0,11.0,10.0,3.0,35.0,33.0,43.0,24.0,5.0,5.0,14.0,27.0,0.0,24.0,30.0,3.0,34.0,5.0,2.0,12.0,17.0,19.0,0.0,6.0
expletive_it_object_raising,9.0,8.0,38.0,36.0,77.0,67.0,73.0,5.0,5.0,90.0,35.0,83.0,71.0,0.0,70.0,18.0,3.0,1.0,26.0,57.0,4.0,2.0,64.0,78.0,82.0,67.0,57.0,52.0,5.0,57.0,675.0,39.0,9.0,41.0,53.0,79.0,1.0,15.0,18.0,57.0,26.0,34.0,53.0,10.0,12.0,5.0,15.0,55.0,100.0,246.0,65.0,26.0,7.0,26.0,67.0,1.0,51.0,35.0,0.0,40.0,19.0,1.0,9.0,19.0,26.0,0.0,17.0
passive_2,8.0,17.0,47.0,15.0,76.0,74.0,50.0,4.0,28.0,24.0,15.0,33.0,78.0,28.0,34.0,27.0,9.0,35.0,41.0,177.0,8.0,12.0,65.0,33.0,15.0,79.0,39.0,81.0,5.0,25.0,39.0,675.0,25.0,26.0,71.0,79.0,37.0,14.0,14.0,65.0,16.0,21.0,74.0,12.0,27.0,2.0,9.0,46.0,135.0,34.0,76.0,9.0,9.0,24.0,78.0,12.0,20.0,11.0,23.0,22.0,27.0,5.0,38.0,43.0,32.0,7.0,12.0
ellipsis_n_bar_1,28.0,18.0,15.0,9.0,25.0,16.0,20.0,20.0,19.0,12.0,13.0,15.0,24.0,39.0,7.0,18.0,12.0,57.0,14.0,16.0,34.0,16.0,24.0,10.0,16.0,18.0,13.0,26.0,29.0,3.0,9.0,25.0,675.0,17.0,21.0,25.0,41.0,16.0,8.0,17.0,8.0,19.0,25.0,28.0,11.0,23.0,16.0,16.0,25.0,7.0,22.0,7.0,46.0,15.0,14.0,73.0,17.0,3.0,13.0,12.0,28.0,25.0,33.0,40.0,8.0,11.0,21.0
tough_vs_raising_2,4.0,19.0,28.0,17.0,75.0,80.0,93.0,16.0,25.0,47.0,24.0,65.0,61.0,5.0,31.0,45.0,12.0,4.0,0.0,18.0,2.0,9.0,80.0,107.0,30.0,86.0,51.0,69.0,1.0,15.0,41.0,26.0,17.0,675.0,78.0,80.0,19.0,6.0,9.0,78.0,32.0,24.0,68.0,27.0,30.0,1.0,17.0,31.0,43.0,50.0,65.0,12.0,2.0,38.0,74.0,8.0,60.0,34.0,2.0,47.0,22.0,9.0,23.0,35.0,36.0,14.0,8.0
determiner_noun_agreement_with_adj_irregular_2,10.0,32.0,106.0,20.0,473.0,246.0,212.0,5.0,29.0,43.0,14.0,100.0,427.0,9.0,46.0,46.0,11.0,6.0,48.0,50.0,12.0,5.0,528.0,91.0,25.0,230.0,135.0,423.0,3.0,20.0,53.0,71.0,21.0,78.0,675.0,486.0,26.0,26.0,55.0,241.0,71.0,12.0,451.0,22.0,40.0,0.0,38.0,80.0,108.0,51.0,442.0,20.0,3.0,39.0,227.0,2.0,128.0,12.0,3.0,91.0,52.0,10.0,76.0,116.0,75.0,2.0,5.0
determiner_noun_agreement_with_adj_2,14.0,32.0,91.0,26.0,593.0,245.0,229.0,9.0,23.0,56.0,21.0,125.0,487.0,5.0,68.0,54.0,10.0,5.0,47.0,50.0,14.0,4.0,473.0,103.0,43.0,230.0,143.0,420.0,2.0,25.0,79.0,79.0,25.0,80.0,486.0,675.0,27.0,31.0,45.0,247.0,81.0,28.0,403.0,22.0,36.0,3.0,37.0,90.0,127.0,69.0,492.0,17.0,6.0,43.0,227.0,4.0,138.0,10.0,0.0,110.0,55.0,8.0,73.0,114.0,81.0,2.0,7.0
animate_subject_passive,22.0,7.0,5.0,3.0,28.0,15.0,13.0,14.0,12.0,13.0,19.0,18.0,36.0,19.0,8.0,17.0,15.0,25.0,16.0,30.0,34.0,19.0,26.0,1.0,11.0,7.0,9.0,42.0,19.0,1.0,1.0,37.0,41.0,19.0,26.0,27.0,675.0,53.0,14.0,16.0,30.0,8.0,38.0,15.0,23.0,3.0,24.0,24.0,40.0,2.0,33.0,3.0,9.0,11.0,10.0,36.0,23.0,4.0,23.0,22.0,19.0,16.0,19.0,28.0,28.0,12.0,10.0
anaphor_gender_agreement,24.0,5.0,80.0,6.0,26.0,49.0,23.0,7.0,4.0,9.0,12.0,31.0,22.0,12.0,15.0,8.0,13.0,19.0,11.0,13.0,15.0,10.0,28.0,10.0,8.0,33.0,54.0,20.0,16.0,14.0,15.0,14.0,16.0,6.0,26.0,31.0,53.0,675.0,16.0,38.0,16.0,14.0,25.0,15.0,8.0,10.0,52.0,23.0,22.0,15.0,24.0,5.0,15.0,9.0,38.0,10.0,25.0,6.0,10.0,14.0,12.0,13.0,13.0,14.0,13.0,6.0,19.0
irregular_past_participle_adjectives,7.0,9.0,28.0,4.0,46.0,72.0,47.0,8.0,8.0,10.0,16.0,9.0,37.0,7.0,27.0,11.0,5.0,8.0,8.0,18.0,12.0,13.0,50.0,37.0,4.0,69.0,44.0,46.0,4.0,7.0,18.0,14.0,8.0,9.0,55.0,45.0,14.0,16.0,675.0,72.0,10.0,8.0,43.0,15.0,5.0,5.0,13.0,22.0,32.0,14.0,41.0,14.0,6.0,10.0,81.0,15.0,25.0,5.0,4.0,26.0,14.0,10.0,7.0,14.0,15.0,11.0,5.0
regular_plural_subject_verb_agreement_2,10.0,44.0,119.0,20.0,248.0,517.0,256.0,7.0,24.0,54.0,19.0,107.0,226.0,6.0,48.0,56.0,10.0,3.0,42.0,42.0,5.0,1.0,227.0,89.0,38.0,328.0,197.0,200.0,1.0,21.0,57.0,65.0,17.0,78.0,241.0,247.0,16.0,38.0,72.0,675.0,68.0,19.0,190.0,28.0,31.0,1.0,31.0,85.0,90.0,44.0,223.0,11.0,4.0,50.0,364.0,6.0,118.0,15.0,1.0,109.0,63.0,7.0,41.0,60.0,71.0,0.0,11.0
drop_argument,43.0,23.0,25.0,10.0,83.0,56.0,54.0,4.0,18.0,29.0,22.0,40.0,94.0,6.0,32.0,12.0,4.0,10.0,33.0,21.0,21.0,9.0,75.0,23.0,42.0,39.0,64.0,71.0,19.0,15.0,26.0,16.0,8.0,32.0,71.0,81.0,30.0,16.0,10.0,68.0,675.0,21.0,77.0,11.0,17.0,11.0,37.0,57.0,49.0,20.0,87.0,9.0,12.0,14.0,41.0,4.0,257.0,14.0,6.0,147.0,52.0,23.0,42.0,65.0,31.0,5.0,30.0
wh_questions_subject_gap,12.0,5.0,14.0,14.0,23.0,19.0,50.0,225.0,8.0,133.0,23.0,24.0,26.0,8.0,25.0,28.0,6.0,68.0,25.0,27.0,8.0,12.0,11.0,21.0,140.0,22.0,23.0,15.0,15.0,15.0,34.0,21.0,19.0,24.0,12.0,28.0,8.0,14.0,8.0,19.0,21.0,675.0,17.0,24.0,9.0,9.0,13.0,8.0,40.0,29.0,21.0,9.0,22.0,28.0,21.0,13.0,24.0,26.0,8.0,22.0,12.0,9.0,4.0,7.0,18.0,9.0,26.0
determiner_noun_agreement_irregular_2,9.0,27.0,76.0,18.0,404.0,196.0,158.0,10.0,30.0,34.0,21.0,93.0,466.0,11.0,39.0,53.0,14.0,8.0,44.0,47.0,20.0,7.0,417.0,70.0,24.0,162.0,126.0,479.0,4.0,17.0,53.0,74.0,25.0,68.0,451.0,403.0,38.0,25.0,43.0,190.0,77.0,17.0,675.0,24.0,38.0,1.0,43.0,66.0,115.0,43.0,492.0,25.0,5.0,51.0,171.0,5.0,131.0,11.0,7.0,93.0,57.0,10.0,86.0,131.0,68.0,3.0,7.0
superlative_quantifiers_2,11.0,17.0,11.0,12.0,19.0,32.0,18.0,23.0,12.0,28.0,3.0,19.0,21.0,14.0,6.0,62.0,12.0,14.0,14.0,10.0,12.0,4.0,18.0,15.0,24.0,10.0,22.0,24.0,16.0,15.0,10.0,12.0,28.0,27.0,22.0,22.0,15.0,15.0,15.0,28.0,11.0,24.0,24.0,675.0,20.0,15.0,3.0,12.0,34.0,18.0,24.0,9.0,12.0,66.0,17.0,10.0,16.0,6.0,14.0,8.0,30.0,12.0,40.0,36.0,15.0,10.0,4.0
coordinate_structure_constraint_object_extraction,0.0,13.0,7.0,11.0,39.0,33.0,20.0,9.0,102.0,5.0,10.0,21.0,39.0,72.0,13.0,21.0,40.0,39.0,12.0,9.0,5.0,10.0,38.0,17.0,6.0,20.0,20.0,43.0,8.0,11.0,12.0,27.0,11.0,30.0,40.0,36.0,23.0,8.0,5.0,31.0,17.0,9.0,38.0,20.0,675.0,7.0,6.0,22.0,23.0,14.0,36.0,6.0,9.0,15.0,25.0,6.0,19.0,8.0,71.0,15.0,19.0,26.0,38.0,39.0,27.0,7.0,6.0
matrix_question_npi_licensor_present,21.0,26.0,10.0,5.0,3.0,2.0,0.0,14.0,16.0,2.0,1.0,8.0,2.0,12.0,2.0,7.0,6.0,23.0,6.0,1.0,28.0,2.0,1.0,6.0,1.0,5.0,7.0,1.0,40.0,10.0,5.0,2.0,23.0,1.0,0.0,3.0,3.0,10.0,5.0,1.0,11.0,9.0,1.0,15.0,7.0,675.0,9.0,5.0,6.0,6.0,3.0,17.0,42.0,5.0,2.0,20.0,10.0,2.0,7.0,2.0,13.0,77.0,1.0,1.0,3.0,29.0,35.0
animate_subject_trans,9.0,8.0,13.0,7.0,37.0,36.0,29.0,7.0,17.0,22.0,25.0,25.0,46.0,6.0,25.0,9.0,4.0,7.0,16.0,31.0,23.0,5.0,42.0,17.0,29.0,21.0,56.0,43.0,19.0,3.0,15.0,9.0,16.0,17.0,38.0,37.0,24.0,52.0,13.0,31.0,37.0,13.0,43.0,3.0,6.0,9.0,675.0,48.0,77.0,17.0,47.0,12.0,33.0,13.0,18.0,10.0,26.0,7.0,6.0,25.0,29.0,10.0,9.0,17.0,30.0,11.0,18.0
