,adjunct_island,principle_A_c_command,anaphor_number_agreement,principle_A_domain_2,determiner_noun_agreement_with_adjective_1,irregular_plural_subject_verb_agreement_2,distractor_agreement_relative_clause,wh_questions_subject_gap_long_distance,left_branch_island_simple_question,wh_vs_that_no_gap_long_distance,sentential_negation_npi_licensor_present,principle_A_case_2,determiner_noun_agreement_2,principle_A_reconstruction,existential_there_quantifiers_1,npi_present_2,wh_island,wh_questions_object_gap,tough_vs_raising_1,passive_1,ellipsis_n_bar_2,only_npi_scope,determiner_noun_agreement_with_adj_irregular_1,existential_there_subject_raising,wh_vs_that_no_gap,distractor_agreement_relational_noun,regular_plural_subject_verb_agreement_1,determiner_noun_agreement_irregular_1,superlative_quantifiers_1,principle_A_domain_3,expletive_it_object_raising,passive_2,ellipsis_n_bar_1,tough_vs_raising_2,determiner_noun_agreement_with_adj_irregular_2,determiner_noun_agreement_with_adj_2,animate_subject_passive,anaphor_gender_agreement,irregular_past_participle_adjectives,regular_plural_subject_verb_agreement_2,drop_argument,wh_questions_subject_gap,determiner_noun_agreement_irregular_2,superlative_quantifiers_2,coordinate_structure_constraint_object_extraction,matrix_question_npi_licensor_present,animate_subject_trans,principle_A_case_1,transitive,existential_there_object_raising,determiner_noun_agreement_1,coordinate_structure_constraint_complex_left_branch,existential_there_quantifiers_2,npi_present_1,irregular_plural_subject_verb_agreement_1,principle_A_domain_1,intransitive,sentential_negation_npi_scope,sentential_subject_island,inchoative,irregular_past_participle_verbs,complex_NP_island,wh_vs_that_with_gap_long_distance,wh_vs_that_with_gap,causative,left_branch_island_echo_question,only_npi_licensor_present
sentential_negation_npi_scope,4.0,14.0,15.0,21.0,11.0,14.0,33.0,18.0,5.0,69.0,187.0,24.0,13.0,3.0,17.0,18.0,6.0,3.0,12.0,9.0,4.0,10.0,11.0,11.0,50.0,12.0,20.0,9.0,2.0,30.0,35.0,11.0,3.0,34.0,12.0,10.0,4.0,6.0,5.0,15.0,14.0,26.0,11.0,6.0,8.0,2.0,7.0,8.0,23.0,29.0,13.0,4.0,3.0,21.0,10.0,0.0,14.0,675.0,3.0,17.0,11.0,4.0,3.0,7.0,8.0,4.0,19.0
sentential_subject_island,19.0,15.0,1.0,8.0,2.0,0.0,0.0,8.0,35.0,5.0,10.0,0.0,5.0,166.0,2.0,10.0,21.0,111.0,3.0,6.0,3.0,22.0,2.0,5.0,8.0,0.0,0.0,8.0,23.0,3.0,0.0,23.0,13.0,2.0,3.0,0.0,23.0,10.0,4.0,1.0,6.0,8.0,7.0,14.0,71.0,7.0,6.0,5.0,4.0,3.0,3.0,2.0,15.0,11.0,0.0,22.0,4.0,3.0,675.0,7.0,7.0,13.0,14.0,14.0,4.0,13.0,11.0
inchoative,30.0,44.0,47.0,27.0,110.0,101.0,98.0,8.0,16.0,58.0,34.0,64.0,117.0,4.0,37.0,28.0,6.0,3.0,54.0,20.0,28.0,7.0,87.0,63.0,59.0,76.0,86.0,84.0,5.0,34.0,40.0,22.0,12.0,47.0,91.0,110.0,22.0,14.0,26.0,109.0,147.0,22.0,93.0,8.0,15.0,2.0,25.0,60.0,72.0,27.0,114.0,18.0,5.0,19.0,103.0,5.0,320.0,17.0,7.0,675.0,63.0,13.0,34.0,57.0,77.0,6.0,18.0
irregular_past_participle_verbs,13.0,21.0,20.0,12.0,55.0,57.0,58.0,13.0,11.0,26.0,27.0,39.0,59.0,15.0,16.0,23.0,10.0,27.0,23.0,20.0,25.0,12.0,47.0,19.0,42.0,41.0,61.0,57.0,12.0,5.0,19.0,27.0,28.0,22.0,52.0,55.0,19.0,12.0,14.0,63.0,52.0,12.0,57.0,30.0,19.0,13.0,29.0,53.0,37.0,8.0,55.0,6.0,39.0,22.0,44.0,33.0,67.0,11.0,7.0,63.0,675.0,15.0,18.0,26.0,39.0,14.0,34.0
complex_NP_island,75.0,25.0,1.0,2.0,9.0,6.0,2.0,12.0,19.0,3.0,11.0,1.0,11.0,14.0,4.0,7.0,37.0,24.0,5.0,2.0,54.0,6.0,9.0,5.0,4.0,6.0,0.0,9.0,30.0,2.0,1.0,5.0,25.0,9.0,10.0,8.0,16.0,13.0,10.0,7.0,23.0,9.0,10.0,12.0,26.0,77.0,10.0,9.0,1.0,4.0,10.0,5.0,37.0,3.0,2.0,32.0,18.0,4.0,13.0,13.0,15.0,675.0,19.0,19.0,4.0,4.0,40.0
wh_vs_that_with_gap_long_distance,12.0,5.0,16.0,17.0,75.0,43.0,27.0,2.0,21.0,7.0,5.0,30.0,83.0,14.0,4.0,21.0,13.0,2.0,42.0,13.0,28.0,19.0,77.0,28.0,0.0,28.0,22.0,83.0,4.0,12.0,9.0,38.0,33.0,23.0,76.0,73.0,19.0,13.0,7.0,41.0,42.0,4.0,86.0,40.0,38.0,1.0,9.0,35.0,49.0,14.0,77.0,18.0,9.0,24.0,32.0,9.0,51.0,3.0,14.0,34.0,18.0,19.0,675.0,365.0,28.0,1.0,3.0
wh_vs_that_with_gap,14.0,12.0,25.0,20.0,118.0,66.0,50.0,10.0,28.0,10.0,9.0,39.0,126.0,9.0,9.0,27.0,10.0,4.0,60.0,24.0,33.0,14.0,111.0,43.0,1.0,47.0,43.0,125.0,7.0,17.0,19.0,43.0,40.0,35.0,116.0,114.0,28.0,14.0,14.0,60.0,65.0,7.0,131.0,36.0,39.0,1.0,17.0,47.0,66.0,22.0,117.0,21.0,6.0,32.0,57.0,16.0,91.0,7.0,14.0,57.0,26.0,19.0,365.0,675.0,31.0,1.0,7.0
causative,9.0,15.0,35.0,22.0,80.0,58.0,75.0,6.0,12.0,40.0,20.0,65.0,77.0,1.0,35.0,17.0,6.0,4.0,13.0,33.0,12.0,14.0,82.0,33.0,33.0,42.0,81.0,81.0,6.0,19.0,26.0,32.0,8.0,36.0,75.0,81.0,28.0,13.0,15.0,71.0,31.0,18.0,68.0,15.0,27.0,3.0,30.0,89.0,100.0,23.0,75.0,9.0,6.0,17.0,69.0,8.0,48.0,8.0,4.0,77.0,39.0,4.0,28.0,31.0,675.0,9.0,18.0
left_branch_island_echo_question,6.0,8.0,1.0,0.0,2.0,0.0,5.0,16.0,27.0,6.0,7.0,1.0,3.0,21.0,4.0,7.0,3.0,16.0,3.0,4.0,16.0,25.0,2.0,2.0,7.0,0.0,2.0,1.0,26.0,0.0,0.0,7.0,11.0,14.0,2.0,2.0,12.0,6.0,11.0,0.0,5.0,9.0,3.0,10.0,7.0,29.0,11.0,2.0,0.0,4.0,3.0,17.0,29.0,5.0,1.0,18.0,6.0,4.0,13.0,6.0,14.0,4.0,1.0,1.0,9.0,675.0,10.0
only_npi_licensor_present,21.0,16.0,10.0,6.0,8.0,7.0,25.0,16.0,10.0,21.0,45.0,7.0,8.0,19.0,13.0,10.0,9.0,33.0,3.0,9.0,30.0,38.0,5.0,6.0,20.0,5.0,24.0,5.0,40.0,6.0,17.0,12.0,21.0,8.0,5.0,7.0,10.0,19.0,5.0,11.0,30.0,26.0,7.0,4.0,6.0,35.0,18.0,14.0,16.0,15.0,6.0,3.0,53.0,12.0,8.0,29.0,29.0,19.0,11.0,18.0,34.0,40.0,3.0,7.0,18.0,10.0,675.0
