,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
r_words__weak_proform,13.0,21.0,13.0,6.0,16.0,31.0,9.0,13.0,28.0,16.0,870.0,9.0,9.0,29.0,16.0,11.0,8.0,18.0,32.0,13.0,30.0,1.0,7.0,20.0,11.0,12.0,15.0,34.0,12.0,24.0,2.0,17.0,21.0,6.0,13.0,0.0,4.0,30.0,21.0,19.0,22.0,25.0,21.0,24.0,19.0,4.0,16.0,7.0,22.0,11.0,18.0,4.0,11.0,2.0,9.0,8.0,12.0,14.0,14.0,26.0,33.0,17.0,23.0,9.0,17.0,31.0,14.0,23.0,14.0,15.0,30.0,20.0,9.0,14.0,11.0,22.0,4.0,32.0,25.0,11.0,19.0,9.0,17.0,33.0
wh_movement_restrictions__bridge_verb_2,9.0,2.0,3.0,20.0,9.0,16.0,4.0,13.0,15.0,7.0,9.0,870.0,11.0,7.0,8.0,13.0,15.0,1.0,30.0,9.0,12.0,40.0,14.0,14.0,11.0,5.0,14.0,9.0,6.0,2.0,9.0,3.0,0.0,2.0,5.0,15.0,18.0,9.0,4.0,15.0,4.0,4.0,10.0,5.0,10.0,16.0,0.0,5.0,15.0,8.0,16.0,10.0,2.0,30.0,10.0,27.0,16.0,8.0,12.0,3.0,12.0,3.0,11.0,25.0,4.0,23.0,4.0,27.0,6.0,21.0,13.0,9.0,9.0,7.0,6.0,4.0,18.0,8.0,16.0,11.0,12.0,6.0,1.0,22.0
topicalization__resumptive_prolepsis,23.0,43.0,6.0,11.0,19.0,7.0,15.0,14.0,11.0,11.0,9.0,11.0,870.0,49.0,10.0,49.0,15.0,61.0,12.0,30.0,24.0,23.0,24.0,19.0,18.0,14.0,15.0,13.0,21.0,36.0,27.0,23.0,66.0,42.0,8.0,20.0,38.0,14.0,38.0,7.0,24.0,36.0,7.0,46.0,10.0,16.0,24.0,57.0,38.0,10.0,54.0,11.0,37.0,24.0,30.0,7.0,16.0,24.0,26.0,36.0,38.0,5.0,14.0,33.0,53.0,13.0,11.0,23.0,18.0,46.0,28.0,6.0,10.0,5.0,37.0,28.0,38.0,10.0,23.0,31.0,22.0,29.0,32.0,10.0
argument_structure__argument_number_ditransitive,20.0,84.0,16.0,12.0,74.0,30.0,28.0,25.0,32.0,20.0,29.0,7.0,49.0,870.0,25.0,15.0,14.0,108.0,8.0,36.0,37.0,0.0,1.0,7.0,8.0,24.0,32.0,33.0,54.0,100.0,43.0,84.0,69.0,85.0,33.0,2.0,3.0,35.0,79.0,15.0,14.0,63.0,22.0,93.0,18.0,7.0,56.0,49.0,144.0,41.0,75.0,25.0,89.0,2.0,7.0,11.0,40.0,62.0,23.0,73.0,90.0,9.0,27.0,4.0,99.0,14.0,31.0,13.0,45.0,90.0,117.0,18.0,7.0,14.0,68.0,62.0,5.0,20.0,68.0,42.0,34.0,16.0,42.0,25.0
adpositional_phrases__argument_scrambling,2.0,35.0,8.0,30.0,27.0,29.0,13.0,18.0,20.0,6.0,16.0,8.0,10.0,25.0,870.0,12.0,17.0,24.0,19.0,7.0,35.0,9.0,5.0,16.0,17.0,30.0,38.0,19.0,15.0,28.0,25.0,18.0,38.0,2.0,22.0,16.0,17.0,12.0,35.0,29.0,9.0,51.0,21.0,19.0,35.0,15.0,12.0,26.0,37.0,4.0,19.0,49.0,32.0,2.0,7.0,19.0,21.0,31.0,11.0,22.0,29.0,18.0,49.0,10.0,34.0,13.0,12.0,19.0,33.0,25.0,24.0,55.0,11.0,48.0,12.0,32.0,10.0,13.0,38.0,18.0,16.0,41.0,44.0,17.0
relativization__resumptive_prolepsis,4.0,24.0,5.0,10.0,24.0,19.0,11.0,12.0,15.0,11.0,11.0,13.0,49.0,15.0,12.0,870.0,15.0,34.0,15.0,9.0,23.0,35.0,34.0,24.0,8.0,3.0,19.0,16.0,4.0,29.0,16.0,19.0,16.0,16.0,6.0,19.0,35.0,13.0,24.0,11.0,13.0,23.0,14.0,32.0,32.0,24.0,9.0,36.0,13.0,6.0,31.0,11.0,22.0,46.0,17.0,7.0,29.0,16.0,27.0,30.0,19.0,4.0,10.0,41.0,24.0,6.0,6.0,52.0,21.0,36.0,12.0,7.0,6.0,5.0,10.0,17.0,55.0,9.0,21.0,19.0,20.0,21.0,18.0,7.0
quantifiers__universal_difference_agreement_singular,3.0,18.0,9.0,18.0,18.0,4.0,19.0,18.0,8.0,9.0,8.0,15.0,15.0,14.0,17.0,15.0,870.0,29.0,9.0,9.0,10.0,20.0,0.0,14.0,4.0,6.0,4.0,9.0,50.0,11.0,22.0,12.0,22.0,18.0,7.0,18.0,21.0,8.0,15.0,24.0,14.0,21.0,8.0,23.0,20.0,19.0,14.0,25.0,21.0,11.0,15.0,21.0,17.0,11.0,24.0,15.0,28.0,27.0,23.0,15.0,15.0,4.0,12.0,17.0,25.0,3.0,7.0,19.0,11.0,19.0,35.0,20.0,7.0,5.0,23.0,10.0,18.0,8.0,25.0,23.0,11.0,10.0,19.0,17.0
infinitival_argument_clause__bare_verb_cluster,5.0,235.0,10.0,7.0,148.0,24.0,42.0,12.0,12.0,28.0,18.0,1.0,61.0,108.0,24.0,34.0,29.0,870.0,17.0,96.0,49.0,3.0,3.0,16.0,7.0,20.0,51.0,18.0,34.0,178.0,21.0,157.0,194.0,109.0,20.0,1.0,9.0,68.0,132.0,6.0,68.0,172.0,16.0,328.0,8.0,2.0,111.0,166.0,37.0,71.0,74.0,7.0,158.0,0.0,20.0,14.0,40.0,100.0,19.0,284.0,64.0,14.0,14.0,0.0,151.0,31.0,32.0,10.0,15.0,62.0,97.0,11.0,5.0,12.0,51.0,68.0,0.0,11.0,82.0,92.0,65.0,94.0,125.0,8.0
infinitival_argument_clause__te_om_te_difference_1,6.0,14.0,1.0,14.0,19.0,15.0,6.0,6.0,27.0,2.0,32.0,30.0,12.0,8.0,19.0,15.0,9.0,17.0,870.0,20.0,28.0,34.0,12.0,31.0,9.0,11.0,18.0,10.0,3.0,16.0,9.0,9.0,10.0,9.0,7.0,15.0,64.0,20.0,22.0,22.0,24.0,26.0,19.0,26.0,13.0,23.0,22.0,28.0,7.0,4.0,30.0,15.0,6.0,32.0,16.0,15.0,15.0,13.0,16.0,21.0,7.0,5.0,4.0,42.0,12.0,221.0,11.0,37.0,11.0,38.0,14.0,6.0,13.0,10.0,8.0,14.0,68.0,27.0,25.0,23.0,5.0,4.0,10.0,7.0
complementive__transitive,16.0,70.0,38.0,15.0,20.0,6.0,22.0,14.0,11.0,11.0,13.0,9.0,30.0,36.0,7.0,9.0,9.0,96.0,20.0,870.0,28.0,4.0,7.0,7.0,2.0,7.0,18.0,18.0,6.0,51.0,8.0,33.0,85.0,53.0,16.0,4.0,31.0,25.0,29.0,5.0,37.0,53.0,5.0,71.0,14.0,4.0,18.0,44.0,7.0,25.0,26.0,11.0,29.0,8.0,22.0,7.0,57.0,20.0,20.0,119.0,60.0,6.0,11.0,16.0,32.0,18.0,9.0,13.0,17.0,18.0,12.0,13.0,9.0,9.0,21.0,14.0,11.0,17.0,30.0,21.0,29.0,31.0,25.0,8.0
