,finite_argument_clause__sluicing_2,complementive__position_adverb,finite_argument_clause__perception_of,r_words__adverbial,argument_structure__intransitive_unaccusative_1,wh_movement__filler_effect_gap,passive__impersonal,topicalization__question_similarity_1,relativization__island,wh_movement_restrictions__resumptive_prolepsis,r_words__weak_proform,wh_movement_restrictions__bridge_verb_2,topicalization__resumptive_prolepsis,argument_structure__argument_number_ditransitive,adpositional_phrases__argument_scrambling,relativization__resumptive_prolepsis,quantifiers__universal_difference_agreement_singular,infinitival_argument_clause__bare_verb_cluster,infinitival_argument_clause__te_om_te_difference_1,complementive__transitive,parasitic_gaps__scrambling,parasitic_gaps__structure_type_1,quantifiers__universal_difference_agreement_plural,nominalization__type_inf_1,infinitival_argument_clause__bare_verb_type_1,wh_movement__filler_effect_no_gap,auxiliaries__order_1,adpositional_phrases__argument_r_extraction,complementive__ditransitive,complementive__position_verb,infinitival_argument_clause__verb_type,extraposition__adjectival_supplementive,adverbial_modification__position_type,anaphor_agreement__person,auxiliaries__semi_aspectual_2,argument_structure__ditransitive_nomdat_1,passive__ditransitive_2,determiners__geen_scrambling_1,crossing_dependencies__cross_dependency,finite_argument_clause__position,passive__aci,infinitival_argument_clause__te_transparant_split,wh_movement_restrictions__island_2,verb_second__order_embedded,wh_movement__stranding_1,passive__ditransitive_1,infinitival_argument_clause__bare_verb_type_3,determiners__geen_scrambling_2,argument_structure__argument_number_in_transitive,binding_principle_a__monomorphemic,argument_structure__ditransitive_nomdat_2,infinitival_argument_clause__om_te,verb_second__order_main,parasitic_gaps__structure_type_3,anaphor_agreement__number,wh_movement_restrictions__island_1,wh_movement__hierarchy,finite_argument_clause__perception_dat,wh_movement__stranding_2,adverbial_modification__position_proform,auxiliaries__order_2,determiners__negative_polarity,complementive__intransitive,argument_structure__intransitive_unaccusative_3,auxiliaries__semi_aspectual_1,infinitival_argument_clause__te_om_te_difference_2,wh_movement_restrictions__superiority,parasitic_gaps__structure_type_2,determiners__geen_expletive,argument_structure__ditransitive_nomdat_3,infinitival_argument_clause__bare_verb_type_2,nominalization__type_inf_2,finite_argument_clause__sluicing_1,extraposition__argument_nominal,wh_movement__question_formation,extraposition__adjectival_adverbial,argument_structure__intransitive_unaccusative_2,topicalization__island,auxiliaries__perfect,finite_argument_clause__complementizer,binding_principle_a__c_command,relativization__pied_piping,topicalization__question_similarity_2,wh_movement_restrictions__bridge_verb_1
ellipsis_n_bar_2,5.0,9.0,2.0,28.0,28.0,13.0,17.0,18.0,20.0,3.0,5.0,16.0,17.0,31.0,37.0,15.0,11.0,13.0,5.0,6.0,20.0,18.0,17.0,19.0,15.0,16.0,39.0,6.0,9.0,9.0,43.0,6.0,22.0,2.0,14.0,20.0,13.0,7.0,26.0,60.0,4.0,29.0,13.0,3.0,39.0,12.0,2.0,10.0,44.0,6.0,46.0,83.0,7.0,19.0,22.0,7.0,34.0,40.0,23.0,12.0,36.0,13.0,25.0,27.0,30.0,9.0,16.0,30.0,34.0,53.0,36.0,18.0,7.0,12.0,35.0,20.0,26.0,13.0,33.0,29.0,17.0,26.0,44.0,17.0
only_npi_scope,8.0,7.0,14.0,7.0,5.0,10.0,14.0,12.0,19.0,5.0,24.0,5.0,19.0,24.0,12.0,10.0,15.0,8.0,1.0,5.0,3.0,4.0,5.0,13.0,8.0,22.0,6.0,31.0,28.0,12.0,10.0,15.0,14.0,17.0,24.0,3.0,3.0,4.0,32.0,8.0,7.0,15.0,30.0,8.0,13.0,1.0,13.0,13.0,12.0,4.0,18.0,11.0,18.0,15.0,15.0,14.0,4.0,22.0,21.0,7.0,10.0,20.0,13.0,2.0,18.0,6.0,23.0,6.0,18.0,8.0,19.0,6.0,9.0,17.0,22.0,21.0,2.0,11.0,5.0,17.0,7.0,19.0,25.0,14.0
determiner_noun_agreement_with_adj_irregular_1,3.0,6.0,7.0,20.0,23.0,32.0,26.0,9.0,12.0,13.0,20.0,18.0,24.0,39.0,34.0,11.0,38.0,9.0,6.0,11.0,16.0,3.0,9.0,10.0,20.0,18.0,60.0,27.0,22.0,13.0,41.0,10.0,21.0,9.0,14.0,6.0,10.0,6.0,46.0,40.0,15.0,38.0,10.0,11.0,24.0,7.0,8.0,20.0,30.0,22.0,54.0,61.0,12.0,3.0,27.0,9.0,45.0,43.0,14.0,17.0,35.0,26.0,7.0,23.0,33.0,6.0,8.0,21.0,41.0,59.0,58.0,32.0,11.0,22.0,57.0,15.0,21.0,21.0,35.0,27.0,25.0,31.0,64.0,19.0
existential_there_subject_raising,24.0,16.0,10.0,2.0,18.0,27.0,31.0,4.0,35.0,5.0,22.0,12.0,26.0,37.0,29.0,7.0,7.0,15.0,7.0,22.0,5.0,1.0,1.0,4.0,13.0,20.0,19.0,21.0,17.0,14.0,30.0,10.0,35.0,10.0,18.0,1.0,4.0,20.0,33.0,10.0,10.0,37.0,11.0,18.0,4.0,2.0,8.0,37.0,22.0,10.0,15.0,33.0,20.0,4.0,5.0,7.0,52.0,40.0,5.0,19.0,41.0,39.0,2.0,8.0,29.0,8.0,8.0,9.0,21.0,33.0,53.0,4.0,17.0,16.0,47.0,13.0,6.0,18.0,21.0,16.0,26.0,25.0,40.0,9.0
wh_vs_that_no_gap,14.0,10.0,1.0,10.0,18.0,1.0,19.0,3.0,21.0,9.0,15.0,16.0,25.0,28.0,19.0,7.0,8.0,13.0,20.0,9.0,8.0,4.0,6.0,9.0,10.0,55.0,23.0,30.0,14.0,9.0,17.0,18.0,14.0,10.0,16.0,1.0,10.0,17.0,35.0,35.0,21.0,21.0,18.0,13.0,6.0,3.0,31.0,18.0,31.0,9.0,29.0,25.0,17.0,15.0,9.0,24.0,7.0,58.0,14.0,18.0,23.0,25.0,7.0,17.0,27.0,22.0,14.0,17.0,33.0,26.0,28.0,41.0,18.0,8.0,47.0,19.0,11.0,36.0,17.0,40.0,2.0,45.0,34.0,18.0
distractor_agreement_relational_noun,3.0,49.0,10.0,2.0,30.0,15.0,6.0,13.0,11.0,22.0,14.0,4.0,21.0,30.0,15.0,17.0,12.0,63.0,6.0,20.0,7.0,0.0,4.0,4.0,21.0,15.0,32.0,13.0,14.0,39.0,19.0,26.0,29.0,27.0,9.0,0.0,4.0,13.0,44.0,9.0,27.0,33.0,5.0,62.0,2.0,0.0,13.0,49.0,24.0,38.0,18.0,16.0,34.0,7.0,15.0,11.0,10.0,32.0,8.0,37.0,16.0,19.0,13.0,5.0,18.0,12.0,14.0,12.0,25.0,31.0,25.0,15.0,11.0,22.0,30.0,12.0,4.0,23.0,27.0,41.0,10.0,41.0,46.0,13.0
regular_plural_subject_verb_agreement_1,4.0,29.0,7.0,4.0,46.0,15.0,9.0,5.0,16.0,17.0,5.0,10.0,24.0,33.0,29.0,13.0,25.0,27.0,7.0,20.0,4.0,0.0,2.0,4.0,17.0,26.0,22.0,15.0,23.0,33.0,39.0,27.0,48.0,43.0,17.0,4.0,4.0,9.0,61.0,20.0,26.0,38.0,8.0,41.0,1.0,3.0,27.0,45.0,34.0,50.0,16.0,26.0,41.0,4.0,34.0,13.0,18.0,67.0,4.0,29.0,29.0,16.0,13.0,10.0,36.0,12.0,3.0,16.0,32.0,37.0,40.0,21.0,15.0,25.0,36.0,9.0,9.0,27.0,24.0,39.0,10.0,45.0,81.0,7.0
determiner_noun_agreement_irregular_1,2.0,11.0,5.0,19.0,24.0,24.0,22.0,10.0,18.0,6.0,18.0,20.0,23.0,44.0,37.0,10.0,35.0,13.0,6.0,10.0,20.0,3.0,8.0,12.0,15.0,18.0,52.0,23.0,24.0,17.0,36.0,15.0,31.0,10.0,13.0,8.0,10.0,13.0,41.0,37.0,21.0,38.0,16.0,13.0,24.0,4.0,9.0,25.0,34.0,24.0,46.0,56.0,12.0,3.0,28.0,12.0,56.0,43.0,16.0,23.0,36.0,27.0,12.0,23.0,38.0,12.0,11.0,21.0,33.0,60.0,58.0,32.0,16.0,22.0,54.0,16.0,20.0,16.0,34.0,29.0,26.0,36.0,65.0,19.0
superlative_quantifiers_1,4.0,1.0,4.0,15.0,23.0,6.0,2.0,4.0,18.0,2.0,5.0,7.0,23.0,1.0,17.0,18.0,8.0,4.0,14.0,4.0,16.0,28.0,38.0,19.0,9.0,3.0,17.0,7.0,4.0,4.0,41.0,0.0,1.0,0.0,2.0,49.0,39.0,11.0,10.0,12.0,3.0,10.0,5.0,4.0,18.0,27.0,3.0,1.0,4.0,1.0,14.0,47.0,1.0,42.0,10.0,10.0,21.0,0.0,19.0,3.0,6.0,14.0,10.0,42.0,6.0,5.0,14.0,34.0,11.0,16.0,6.0,14.0,9.0,11.0,6.0,8.0,48.0,12.0,17.0,7.0,4.0,4.0,15.0,23.0
principle_A_domain_3,14.0,16.0,9.0,7.0,9.0,36.0,16.0,13.0,14.0,7.0,7.0,7.0,18.0,28.0,11.0,8.0,5.0,12.0,8.0,23.0,4.0,0.0,3.0,5.0,2.0,14.0,10.0,17.0,10.0,11.0,9.0,15.0,17.0,8.0,11.0,1.0,2.0,9.0,21.0,19.0,20.0,18.0,10.0,16.0,3.0,0.0,14.0,23.0,22.0,10.0,15.0,12.0,17.0,6.0,3.0,8.0,29.0,22.0,2.0,13.0,17.0,7.0,4.0,1.0,13.0,13.0,1.0,6.0,15.0,14.0,27.0,7.0,10.0,5.0,28.0,22.0,3.0,9.0,5.0,12.0,11.0,9.0,6.0,7.0
expletive_it_object_raising,22.0,15.0,4.0,1.0,19.0,14.0,15.0,2.0,17.0,3.0,5.0,7.0,18.0,26.0,23.0,14.0,14.0,9.0,6.0,10.0,9.0,0.0,3.0,4.0,3.0,35.0,6.0,22.0,17.0,12.0,24.0,9.0,23.0,21.0,25.0,1.0,2.0,12.0,24.0,22.0,11.0,34.0,10.0,13.0,4.0,0.0,22.0,20.0,21.0,21.0,16.0,31.0,12.0,7.0,13.0,23.0,33.0,50.0,8.0,19.0,29.0,26.0,5.0,9.0,31.0,8.0,2.0,8.0,31.0,15.0,37.0,36.0,19.0,11.0,49.0,11.0,9.0,34.0,8.0,39.0,10.0,46.0,65.0,9.0
passive_2,5.0,14.0,6.0,10.0,24.0,22.0,16.0,11.0,18.0,5.0,9.0,15.0,16.0,37.0,33.0,7.0,21.0,15.0,11.0,11.0,9.0,6.0,12.0,10.0,9.0,18.0,21.0,17.0,19.0,17.0,45.0,16.0,36.0,24.0,21.0,6.0,6.0,16.0,37.0,22.0,8.0,48.0,15.0,11.0,10.0,6.0,11.0,25.0,50.0,17.0,31.0,55.0,18.0,9.0,12.0,16.0,50.0,58.0,7.0,21.0,39.0,35.0,16.0,19.0,35.0,5.0,7.0,7.0,31.0,41.0,63.0,14.0,25.0,19.0,47.0,9.0,20.0,16.0,32.0,37.0,25.0,33.0,66.0,22.0
ellipsis_n_bar_1,7.0,5.0,0.0,16.0,31.0,2.0,8.0,1.0,19.0,6.0,7.0,14.0,11.0,26.0,32.0,20.0,17.0,4.0,9.0,5.0,19.0,28.0,18.0,8.0,12.0,15.0,12.0,5.0,10.0,6.0,26.0,3.0,13.0,2.0,3.0,39.0,15.0,10.0,19.0,19.0,1.0,27.0,5.0,2.0,5.0,14.0,0.0,7.0,22.0,6.0,29.0,41.0,4.0,36.0,36.0,6.0,26.0,30.0,13.0,6.0,6.0,3.0,13.0,27.0,24.0,7.0,6.0,39.0,25.0,35.0,23.0,13.0,10.0,11.0,29.0,7.0,34.0,11.0,17.0,19.0,5.0,20.0,35.0,11.0
tough_vs_raising_2,37.0,8.0,4.0,16.0,21.0,25.0,12.0,7.0,34.0,2.0,13.0,10.0,13.0,23.0,26.0,10.0,13.0,4.0,6.0,12.0,8.0,3.0,8.0,15.0,13.0,35.0,47.0,33.0,11.0,7.0,15.0,11.0,17.0,20.0,29.0,3.0,10.0,15.0,39.0,19.0,17.0,40.0,14.0,7.0,24.0,5.0,16.0,19.0,24.0,14.0,23.0,25.0,11.0,5.0,5.0,12.0,18.0,31.0,10.0,11.0,21.0,26.0,11.0,29.0,20.0,5.0,24.0,6.0,29.0,35.0,20.0,24.0,10.0,22.0,25.0,18.0,18.0,13.0,39.0,21.0,3.0,43.0,43.0,30.0
determiner_noun_agreement_with_adj_irregular_2,3.0,7.0,4.0,20.0,23.0,30.0,25.0,8.0,17.0,9.0,22.0,19.0,25.0,35.0,33.0,11.0,35.0,12.0,6.0,8.0,13.0,4.0,9.0,12.0,18.0,19.0,56.0,23.0,22.0,14.0,40.0,8.0,22.0,8.0,12.0,6.0,9.0,11.0,44.0,46.0,17.0,34.0,10.0,13.0,21.0,6.0,8.0,24.0,28.0,22.0,51.0,56.0,11.0,3.0,28.0,12.0,45.0,40.0,18.0,18.0,32.0,25.0,6.0,24.0,35.0,7.0,10.0,20.0,42.0,61.0,56.0,31.0,10.0,22.0,56.0,15.0,22.0,15.0,33.0,24.0,27.0,31.0,63.0,19.0
determiner_noun_agreement_with_adj_2,2.0,7.0,4.0,19.0,22.0,33.0,21.0,7.0,18.0,8.0,22.0,18.0,25.0,34.0,34.0,11.0,29.0,12.0,8.0,9.0,17.0,2.0,8.0,9.0,17.0,17.0,55.0,24.0,22.0,13.0,41.0,13.0,20.0,8.0,16.0,9.0,11.0,9.0,44.0,41.0,21.0,36.0,9.0,12.0,24.0,6.0,12.0,18.0,28.0,16.0,47.0,59.0,10.0,2.0,31.0,16.0,42.0,43.0,19.0,21.0,34.0,26.0,9.0,26.0,38.0,8.0,10.0,24.0,39.0,58.0,58.0,37.0,10.0,22.0,56.0,14.0,20.0,18.0,30.0,23.0,26.0,28.0,62.0,25.0
animate_subject_passive,12.0,4.0,0.0,20.0,20.0,18.0,17.0,7.0,16.0,0.0,5.0,22.0,8.0,29.0,33.0,11.0,18.0,2.0,10.0,9.0,9.0,12.0,21.0,16.0,16.0,15.0,13.0,3.0,14.0,14.0,31.0,21.0,9.0,1.0,13.0,20.0,16.0,6.0,17.0,22.0,3.0,23.0,12.0,1.0,19.0,11.0,3.0,6.0,24.0,10.0,36.0,43.0,3.0,22.0,17.0,14.0,48.0,29.0,18.0,8.0,18.0,18.0,24.0,28.0,23.0,4.0,4.0,12.0,22.0,25.0,44.0,24.0,4.0,11.0,36.0,10.0,22.0,12.0,17.0,9.0,18.0,17.0,44.0,12.0
anaphor_gender_agreement,7.0,11.0,9.0,0.0,24.0,18.0,26.0,3.0,15.0,10.0,9.0,18.0,20.0,33.0,22.0,10.0,22.0,4.0,1.0,26.0,2.0,1.0,1.0,0.0,10.0,23.0,4.0,15.0,29.0,8.0,27.0,12.0,43.0,35.0,33.0,1.0,2.0,3.0,40.0,11.0,15.0,38.0,9.0,16.0,4.0,0.0,13.0,29.0,26.0,23.0,17.0,37.0,21.0,9.0,12.0,11.0,50.0,57.0,0.0,13.0,32.0,25.0,4.0,6.0,29.0,4.0,1.0,2.0,25.0,16.0,50.0,19.0,8.0,16.0,47.0,6.0,7.0,16.0,6.0,28.0,29.0,52.0,59.0,8.0
irregular_past_participle_adjectives,3.0,45.0,5.0,3.0,41.0,5.0,24.0,10.0,0.0,10.0,3.0,19.0,10.0,20.0,20.0,19.0,15.0,27.0,15.0,17.0,5.0,18.0,16.0,5.0,10.0,14.0,8.0,13.0,17.0,28.0,8.0,9.0,49.0,46.0,11.0,18.0,20.0,9.0,42.0,2.0,25.0,44.0,3.0,38.0,4.0,25.0,21.0,45.0,10.0,54.0,21.0,5.0,29.0,19.0,17.0,7.0,22.0,42.0,12.0,51.0,7.0,11.0,12.0,8.0,44.0,10.0,4.0,15.0,12.0,9.0,38.0,8.0,6.0,11.0,24.0,5.0,18.0,15.0,12.0,19.0,20.0,50.0,57.0,9.0
regular_plural_subject_verb_agreement_2,3.0,31.0,8.0,1.0,36.0,13.0,18.0,3.0,17.0,17.0,6.0,5.0,25.0,46.0,24.0,14.0,11.0,37.0,3.0,19.0,8.0,0.0,2.0,4.0,10.0,20.0,22.0,22.0,29.0,33.0,35.0,19.0,39.0,42.0,12.0,0.0,4.0,10.0,59.0,20.0,20.0,47.0,9.0,50.0,3.0,2.0,20.0,47.0,29.0,35.0,21.0,23.0,37.0,1.0,21.0,4.0,18.0,54.0,12.0,44.0,41.0,24.0,12.0,17.0,38.0,16.0,14.0,9.0,19.0,38.0,52.0,11.0,15.0,20.0,48.0,10.0,14.0,20.0,20.0,24.0,18.0,44.0,63.0,15.0
drop_argument,20.0,14.0,9.0,8.0,31.0,17.0,21.0,13.0,21.0,8.0,17.0,13.0,11.0,33.0,43.0,5.0,26.0,18.0,10.0,10.0,9.0,9.0,9.0,7.0,13.0,31.0,9.0,15.0,19.0,9.0,35.0,11.0,25.0,7.0,18.0,14.0,9.0,18.0,33.0,32.0,14.0,48.0,10.0,16.0,8.0,4.0,6.0,29.0,28.0,12.0,28.0,58.0,20.0,12.0,21.0,4.0,55.0,52.0,14.0,25.0,35.0,35.0,3.0,12.0,44.0,3.0,11.0,16.0,34.0,27.0,62.0,19.0,43.0,19.0,55.0,10.0,22.0,20.0,33.0,36.0,22.0,37.0,61.0,19.0
wh_questions_subject_gap,9.0,13.0,7.0,14.0,25.0,41.0,18.0,11.0,30.0,13.0,14.0,11.0,28.0,29.0,24.0,16.0,10.0,13.0,10.0,20.0,6.0,3.0,7.0,10.0,15.0,24.0,20.0,27.0,18.0,22.0,30.0,9.0,23.0,16.0,18.0,1.0,6.0,13.0,41.0,19.0,15.0,36.0,7.0,16.0,13.0,1.0,14.0,20.0,16.0,11.0,34.0,21.0,15.0,17.0,4.0,22.0,38.0,53.0,6.0,19.0,22.0,24.0,7.0,6.0,43.0,13.0,8.0,6.0,23.0,25.0,44.0,21.0,8.0,12.0,52.0,18.0,10.0,32.0,14.0,17.0,14.0,27.0,52.0,10.0
determiner_noun_agreement_irregular_2,3.0,10.0,6.0,17.0,23.0,25.0,24.0,11.0,17.0,7.0,16.0,22.0,26.0,44.0,36.0,11.0,37.0,12.0,6.0,10.0,20.0,4.0,11.0,8.0,16.0,16.0,50.0,21.0,25.0,14.0,31.0,19.0,30.0,11.0,12.0,9.0,11.0,12.0,45.0,43.0,18.0,35.0,13.0,13.0,30.0,7.0,10.0,25.0,34.0,25.0,52.0,57.0,14.0,3.0,27.0,9.0,56.0,41.0,18.0,24.0,36.0,23.0,18.0,24.0,39.0,7.0,11.0,24.0,37.0,64.0,57.0,30.0,13.0,22.0,55.0,12.0,23.0,16.0,35.0,32.0,26.0,43.0,64.0,20.0
superlative_quantifiers_2,11.0,3.0,13.0,27.0,18.0,21.0,7.0,11.0,16.0,9.0,18.0,13.0,12.0,43.0,15.0,18.0,15.0,6.0,14.0,10.0,20.0,10.0,17.0,13.0,18.0,8.0,24.0,13.0,15.0,12.0,58.0,8.0,2.0,6.0,19.0,15.0,11.0,20.0,23.0,13.0,12.0,16.0,15.0,7.0,15.0,16.0,17.0,7.0,49.0,7.0,28.0,36.0,18.0,6.0,9.0,14.0,21.0,38.0,11.0,6.0,34.0,13.0,11.0,19.0,24.0,5.0,14.0,10.0,28.0,31.0,43.0,30.0,9.0,19.0,35.0,16.0,15.0,27.0,23.0,10.0,5.0,13.0,38.0,4.0
coordinate_structure_constraint_object_extraction,17.0,6.0,13.0,15.0,12.0,16.0,9.0,24.0,22.0,11.0,19.0,19.0,14.0,18.0,31.0,12.0,15.0,5.0,18.0,10.0,37.0,22.0,17.0,23.0,13.0,4.0,28.0,20.0,14.0,8.0,20.0,8.0,6.0,0.0,15.0,18.0,19.0,5.0,5.0,23.0,6.0,16.0,20.0,9.0,8.0,22.0,2.0,9.0,24.0,1.0,11.0,42.0,4.0,14.0,9.0,20.0,44.0,3.0,14.0,9.0,29.0,10.0,16.0,25.0,17.0,15.0,13.0,34.0,23.0,12.0,18.0,16.0,8.0,23.0,15.0,16.0,30.0,9.0,40.0,13.0,17.0,4.0,18.0,26.0
matrix_question_npi_licensor_present,0.0,0.0,1.0,4.0,28.0,0.0,0.0,0.0,29.0,0.0,1.0,16.0,9.0,0.0,0.0,19.0,5.0,0.0,10.0,1.0,0.0,24.0,24.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,44.0,1.0,6.0,0.0,0.0,46.0,8.0,4.0,0.0,21.0,7.0,4.0,1.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,8.0,43.0,2.0,50.0,13.0,6.0,17.0,1.0,2.0,2.0,0.0,0.0,5.0,32.0,0.0,13.0,5.0,28.0,1.0,9.0,4.0,0.0,11.0,1.0,0.0,0.0,45.0,8.0,2.0,5.0,2.0,3.0,0.0,1.0
animate_subject_trans,11.0,1.0,37.0,8.0,17.0,8.0,8.0,11.0,10.0,10.0,2.0,11.0,16.0,23.0,33.0,4.0,14.0,2.0,14.0,13.0,9.0,9.0,12.0,1.0,17.0,7.0,13.0,9.0,11.0,19.0,36.0,21.0,12.0,40.0,20.0,7.0,17.0,9.0,19.0,14.0,16.0,13.0,20.0,11.0,1.0,7.0,15.0,19.0,25.0,32.0,17.0,28.0,10.0,14.0,18.0,9.0,12.0,25.0,3.0,9.0,24.0,26.0,12.0,11.0,8.0,7.0,6.0,7.0,26.0,27.0,15.0,10.0,5.0,20.0,11.0,17.0,14.0,20.0,20.0,23.0,6.0,25.0,49.0,6.0
principle_A_case_1,17.0,13.0,22.0,11.0,20.0,6.0,9.0,11.0,15.0,9.0,8.0,10.0,15.0,29.0,17.0,5.0,14.0,17.0,6.0,15.0,4.0,6.0,6.0,14.0,8.0,18.0,29.0,11.0,12.0,17.0,22.0,22.0,21.0,16.0,23.0,19.0,3.0,26.0,17.0,35.0,4.0,22.0,20.0,25.0,2.0,11.0,9.0,27.0,28.0,15.0,9.0,26.0,15.0,9.0,33.0,10.0,15.0,28.0,10.0,7.0,26.0,18.0,23.0,8.0,22.0,23.0,7.0,21.0,34.0,36.0,26.0,17.0,14.0,20.0,29.0,14.0,8.0,2.0,29.0,22.0,9.0,21.0,38.0,12.0
transitive,12.0,8.0,7.0,11.0,26.0,28.0,17.0,7.0,26.0,6.0,14.0,18.0,26.0,33.0,38.0,11.0,25.0,11.0,9.0,22.0,7.0,2.0,15.0,8.0,18.0,32.0,29.0,24.0,18.0,14.0,53.0,13.0,28.0,17.0,22.0,4.0,8.0,17.0,43.0,47.0,10.0,42.0,15.0,14.0,12.0,5.0,15.0,25.0,45.0,21.0,45.0,61.0,15.0,6.0,27.0,26.0,38.0,62.0,18.0,15.0,35.0,33.0,14.0,23.0,34.0,13.0,10.0,18.0,48.0,51.0,53.0,53.0,21.0,24.0,53.0,14.0,24.0,33.0,38.0,48.0,23.0,37.0,69.0,35.0
existential_there_object_raising,20.0,13.0,1.0,4.0,22.0,25.0,15.0,3.0,32.0,19.0,8.0,2.0,15.0,28.0,20.0,15.0,9.0,11.0,13.0,6.0,2.0,0.0,3.0,8.0,16.0,46.0,11.0,20.0,16.0,11.0,18.0,13.0,19.0,13.0,19.0,3.0,0.0,22.0,31.0,28.0,7.0,35.0,10.0,18.0,15.0,0.0,28.0,19.0,18.0,16.0,11.0,8.0,12.0,5.0,11.0,15.0,32.0,52.0,14.0,12.0,21.0,27.0,7.0,2.0,29.0,14.0,3.0,8.0,23.0,12.0,36.0,38.0,24.0,15.0,47.0,18.0,2.0,37.0,8.0,30.0,5.0,45.0,49.0,8.0
determiner_noun_agreement_1,5.0,11.0,5.0,20.0,24.0,32.0,25.0,19.0,16.0,4.0,22.0,20.0,32.0,40.0,38.0,12.0,32.0,13.0,5.0,13.0,22.0,5.0,9.0,12.0,16.0,17.0,54.0,22.0,23.0,12.0,34.0,16.0,29.0,8.0,10.0,12.0,12.0,12.0,46.0,37.0,20.0,34.0,14.0,12.0,29.0,8.0,8.0,23.0,31.0,18.0,47.0,59.0,10.0,2.0,30.0,10.0,53.0,37.0,24.0,27.0,36.0,24.0,13.0,26.0,38.0,10.0,8.0,25.0,27.0,58.0,53.0,29.0,15.0,22.0,54.0,16.0,21.0,17.0,35.0,22.0,28.0,39.0,58.0,14.0
coordinate_structure_constraint_complex_left_branch,7.0,12.0,13.0,3.0,15.0,23.0,18.0,22.0,10.0,43.0,4.0,12.0,19.0,51.0,23.0,12.0,4.0,19.0,4.0,18.0,8.0,5.0,6.0,2.0,7.0,11.0,3.0,21.0,32.0,21.0,21.0,22.0,14.0,16.0,10.0,3.0,1.0,8.0,36.0,6.0,13.0,12.0,29.0,21.0,12.0,0.0,24.0,14.0,37.0,11.0,21.0,20.0,29.0,2.0,7.0,27.0,28.0,19.0,14.0,20.0,12.0,12.0,10.0,0.0,25.0,13.0,18.0,3.0,19.0,19.0,48.0,9.0,11.0,24.0,40.0,7.0,0.0,3.0,7.0,11.0,24.0,9.0,29.0,18.0
existential_there_quantifiers_2,6.0,2.0,13.0,16.0,26.0,1.0,2.0,9.0,4.0,6.0,8.0,6.0,16.0,4.0,6.0,11.0,9.0,6.0,5.0,16.0,12.0,16.0,13.0,21.0,10.0,13.0,6.0,9.0,12.0,1.0,7.0,12.0,7.0,10.0,7.0,27.0,27.0,7.0,3.0,8.0,8.0,8.0,2.0,4.0,15.0,16.0,4.0,3.0,8.0,6.0,9.0,12.0,9.0,18.0,15.0,12.0,9.0,5.0,12.0,4.0,15.0,7.0,28.0,16.0,5.0,9.0,4.0,11.0,9.0,9.0,4.0,9.0,6.0,7.0,8.0,2.0,16.0,8.0,11.0,6.0,7.0,5.0,2.0,8.0
npi_present_1,15.0,10.0,6.0,4.0,33.0,11.0,10.0,5.0,10.0,9.0,37.0,17.0,15.0,40.0,20.0,13.0,8.0,12.0,8.0,11.0,4.0,9.0,12.0,13.0,5.0,20.0,8.0,24.0,8.0,7.0,15.0,11.0,19.0,4.0,25.0,19.0,12.0,21.0,37.0,7.0,9.0,22.0,8.0,16.0,7.0,21.0,10.0,12.0,26.0,20.0,42.0,21.0,11.0,19.0,5.0,5.0,22.0,36.0,7.0,19.0,15.0,14.0,7.0,18.0,28.0,13.0,10.0,6.0,21.0,28.0,44.0,23.0,7.0,10.0,32.0,14.0,23.0,21.0,14.0,13.0,18.0,28.0,36.0,20.0
irregular_plural_subject_verb_agreement_1,4.0,38.0,8.0,2.0,29.0,19.0,19.0,6.0,17.0,11.0,9.0,3.0,30.0,40.0,24.0,10.0,17.0,43.0,4.0,11.0,5.0,0.0,1.0,3.0,14.0,22.0,25.0,18.0,22.0,28.0,27.0,16.0,41.0,29.0,12.0,0.0,4.0,14.0,52.0,14.0,14.0,49.0,8.0,35.0,7.0,0.0,17.0,45.0,29.0,37.0,34.0,24.0,30.0,3.0,29.0,6.0,24.0,47.0,10.0,40.0,34.0,26.0,8.0,17.0,33.0,11.0,12.0,16.0,25.0,46.0,40.0,12.0,19.0,21.0,49.0,7.0,14.0,18.0,27.0,31.0,13.0,42.0,58.0,11.0
principle_A_domain_1,0.0,1.0,2.0,14.0,22.0,3.0,1.0,4.0,22.0,0.0,0.0,10.0,15.0,6.0,12.0,11.0,13.0,0.0,18.0,15.0,11.0,28.0,25.0,20.0,9.0,3.0,7.0,8.0,2.0,7.0,22.0,2.0,4.0,1.0,1.0,26.0,20.0,9.0,1.0,28.0,3.0,7.0,7.0,0.0,17.0,17.0,0.0,1.0,12.0,0.0,16.0,32.0,3.0,24.0,21.0,12.0,20.0,9.0,12.0,0.0,7.0,9.0,8.0,25.0,2.0,10.0,3.0,27.0,15.0,16.0,3.0,4.0,1.0,2.0,8.0,3.0,26.0,13.0,10.0,7.0,4.0,0.0,8.0,5.0
